filename,category,text
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Anti-Assignment,Neither party may assign this Agreement without the prior written consent of the other party.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Revenue/Profit Sharing,Affiliate shall receive twenty percent of net revenues generated from qualifying transactions.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Price Restrictions,Distributor shall not sell the licensed service below the minimum advertised price established by Company.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Minimum Commitment,Distributor shall purchase a minimum annual quantity of one thousand units.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Volume Restriction,Sales under this Agreement shall not exceed the annual volume cap stated in Schedule A.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Ip Ownership Assignment,All right title and interest in work product created under this Agreement shall be assigned to Company.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Joint Ip Ownership,Intellectual property developed jointly by the parties shall be jointly owned.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,License Grant,Licensor hereby grants Licensee a nonexclusive license to use and distribute the Licensed Materials in the Territory.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Non-Transferable License,The license granted hereunder is personal to Licensee and may not be transferred.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Affiliate License-Licensor,Licensor may extend the licensed rights to its controlled affiliates.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Affiliate License-Licensee,Licensee may permit its wholly owned affiliates to exercise the licensed rights subject to this Agreement.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Unlimited/All-You-Can-Eat-License,The subscription permits unlimited use of the licensed content during the subscription period.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Irrevocable Or Perpetual License,The license is perpetual and irrevocable except in the event of material breach.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Source Code Escrow,The source code shall be deposited with an independent escrow agent for release upon specified conditions.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Post-Termination Services,Provider shall continue transition services for ninety days after termination.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Audit Rights,Customer may audit Provider records upon reasonable notice to verify compliance with payment obligations.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Uncapped Liability,The limitation of liability shall not apply to fraud willful misconduct or infringement claims.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Cap On Liability,Except for excluded claims each party's aggregate liability shall not exceed fees paid during the prior twelve months.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Liquidated Damages,The breaching party shall pay liquidated damages of ten thousand dollars for each material violation.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Warranty Duration,The warranty period shall continue for twelve months after delivery.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Insurance,Provider shall maintain commercial general liability insurance with limits of not less than two million dollars.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Covenant Not To Sue,Licensee covenants not to sue Licensor for use of the licensed technology within the scope of this Agreement.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Third Party Beneficiary,No person other than the parties shall be deemed a third party beneficiary of this Agreement.
